Year,Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Office Equipment (Unit : Terajoule),Hot Water & Refrigeration (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,,,,,,
2011,,,,,,
2012,1822,672,370,135,,567
2013,1881,662,384,140,,577
2014,2049,663,403,154,,598
2015,2162,668,425,161,,617
2016,2271,683,454,171,,641
2017,2428,690,478,177,156,501
2018,2575,699,503,190,142,536
2019,2702,703,526,197,127,563
2020,2528,658,492,164,119,513
