Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,1793,125,400,,,399
2011,1781,89,321,,,351
2012,2012,85,347,,,402
2013,2163,79,360,,,444
2014,2345,80,413,,,530
2015,2427,75,429,,,583
2016,2365,70,436,,,644
2017,2477,66,457,45,593,82
2018,2568,66,456,49,599,82
2019,2634,69,479,47,621,86
2020,2436,66,459,45,595,80
