Year,Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Office Equipment (Unit : Terajoule),Hot Water & Refrigeration (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,10154,7586,3156,9867,,33538
2011,9131,5266,1138,5128,,35506
2012,3232,4060,369,2010,,33488
2013,3296,3963,369,2209,,33444
2014,3434,3869,369,2536,,33951
2015,3491,3794,372,2647,,35145
2016,3416,3696,372,2901,,36422
2017,3501,3606,371,3184,5969,30200
2018,3491,3654,349,3265,5996,27000
2019,3351,3659,322,3297,5918,30709
2020,3237,3608,303,2952,5899,29815
