Year,Public Housing (Unit : Terajoule),Private Housing (Unit : Terajoule),HA Subsidized Sale Flats (Unit : Terajoule),Other Housing (Unit : Terajoule)
2010,16152,28730,10084,3430
2011,16425,29134,9665,3634
2012,16866,29324,9814,4033
2013,16604,28489,9468,4021
2014,17371,30548,9983,4202
2015,16970,29241,9639,4589
2016,17190,30489,9572,4454
2017,16713,30231,9251,4281
2018,16925,30241,9395,4996
2019,16785,30115,9407,4716
2020,18223,32873,10287,5033
