Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Hot Water (Unit : Terajoule),Lighting (Unit : Terajoule),Refrigeration (Unit : Terajoule),Office Equipment (Unit : Terajoule),Laundry (Unit : Terajoule),Others (Unit : Terajoule)
2010,2685,2285,1995,645,926,1029,,519
2011,2517,2163,1950,585,857,1025,,567
2012,2464,2162,1982,561,838,1127,,678
2013,2515,2075,2049,480,741,945,,664
2014,2491,2565,2167,454,715,873,,718
2015,2350,2605,2177,400,632,758,,718
2016,2298,2676,2278,359,560,674,,726
2017,2182,2693,2298,316,476,580,473,233
2018,2252,2658,2412,315,474,578,472,233
2019,2207,2757,2283,328,500,601,490,242
2020,2389,3102,2499,349,530,639,521,257
