Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,1665,94,761,,,1367
2011,1513,61,537,,,1133
2012,1416,57,487,,,904
2013,1367,57,444,,,739
2014,1284,57,410,,,606
2015,1256,60,370,,,510
2016,1216,61,302,,,417
2017,1256,65,243,323,4,29
2018,1257,64,239,322,4,28
2019,1214,61,229,305,4,27
2020,1220,60,224,298,4,26
