Year,Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,5875,4122,,5715
2011,5625,4183,,7524
2012,5701,4177,,7638
2013,5583,4250,,7793
2014,5799,4241,,7937
2015,5754,4310,,7910
2016,5582,4189,,7629
2017,5656,4217,103,7620
2018,5642,4253,99,7795
2019,5459,4080,98,7341
2020,5197,3850,96,6832
