Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,574,106,391,,,145
2011,443,65,212,,,92
2012,408,55,158,,,79
2013,350,48,118,,,68
2014,275,39,85,,,54
2015,217,33,61,,,44
2016,153,27,44,,,35
2017,102,23,33,3,1,25
2018,89,20,29,3,1,22
2019,77,18,25,2,1,19
2020,70,16,23,2,1,17
