Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Hot Water (Unit : Terajoule),Lighting (Unit : Terajoule),Refrigeration (Unit : Terajoule),Office Equipment (Unit : Terajoule),Laundry (Unit : Terajoule),Others (Unit : Terajoule)
2010,4661,2870,3557,947,1818,1558,,742
2011,4740,2931,3565,942,1763,1642,,841
2012,4804,3029,3549,970,1725,1794,,995
2013,5085,2883,3661,823,1544,1573,,1035
2014,5083,3496,3866,775,1495,1489,,1168
2015,4912,3580,3866,691,1349,1338,,1235
2016,4942,3758,4079,633,1226,1231,,1320
2017,4786,3829,4048,571,1055,1082,791,550
2018,4960,3783,4139,570,1054,1080,790,549
2019,4792,3839,3980,587,1098,1111,812,565
2020,5160,4307,4342,621,1160,1176,860,598
