Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,695,125,400,,,365
2011,558,89,321,,,314
2012,604,85,347,,,360
2013,632,79,360,,,397
2014,729,80,413,,,471
2015,763,75,429,,,511
2016,787,70,436,,,553
2017,833,66,457,31,486,82
2018,833,66,456,31,486,82
2019,874,69,479,32,510,86
2020,837,66,459,31,489,80
