Year,Air Conditioning (Unit : Terajoule),Lighting (Unit : Terajoule),Office Equipment (Unit : Terajoule),Hot Water & Refrigeration (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Others (Unit : Terajoule)
2010,10154,7586,3156,3886,,30835
2011,9119,5266,1138,1721,,33076
2012,3232,4060,369,738,,32165
2013,3296,3963,369,861,,32152
2014,3434,3869,369,1036,,32524
2015,3491,3794,372,1184,,33769
2016,3416,3696,372,1334,,35015
2017,3501,3606,371,1484,5868,28862
2018,3491,3654,349,1538,5900,25590
2019,3351,3659,322,1557,5878,29537
2020,3237,3608,303,1432,5865,28947
