Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,312,106,391,,,142
2011,201,65,212,,,90
2012,180,55,158,,,78
2013,161,48,118,,,67
2014,136,39,85,,,54
2015,118,33,61,,,44
2016,101,27,44,,,35
2017,89,23,33,3,1,24
2018,78,20,29,3,1,21
2019,68,18,25,2,1,18
2020,62,16,23,2,1,17
