Year,Industrial Process/ Equipment (Unit : Terajoule),Lighting (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Vertical Transport (Unit : Terajoule),Cooking (Unit : Terajoule),Others (Unit : Terajoule)
2010,668,94,761,,,190
2011,504,61,537,,,156
2012,508,57,487,,,166
2013,527,57,444,,,181
2014,551,57,410,,,200
2015,588,60,370,,,225
2016,603,61,302,,,245
2017,635,65,243,242,4,27
2018,625,64,239,239,4,27
2019,599,61,229,229,4,26
2020,585,60,224,223,4,25
