Year 年,Period 時期,Gas (GWh) 燃氣(百萬度),Coal & oil (GWh) 燃煤及燃油(百萬度),Renewable Energy (GWh) 可再生能源(百萬度),Total Electricity Sent Out (GWh) 總輸出電量(百萬度)
2021,Second Half 下半年,2898,2838,3,5739
2021,First Half 上半年,2281,2694,3,4978
