date, pm25, pm10, o3, no2, so2, co
2022/9/15, 93, 50, 133, 29, 1, 5
2022/9/16, 114, 47, 97, 21, 1, 5
2022/9/17, 114, 41, 85, 12, 1, 4
2022/9/18, 97, 28, 80, 16, , 4
2022/9/19, 70, 32, 77, 15, , 4
2022/9/20, 79, 36, 66, 9, , 3
2022/9/21, 60, 30, 57, 10, , 3
2022/9/22, 53, 31, 79, 15, , 4
2022/9/23, 63, 29, 63, 11, , 3
2022/9/24, 65, 38, 81, 8, , 4
2022/9/25, 70, 29, 78, 11, , 3
2022/9/26, 53, 19, 30, 10, 1, 3
2022/9/27, 43, 17, 28, 8, , 2
2022/9/28, 34, 15, 26, 8, , 2
2022/9/29, 32, 9, 16, 11, , 2
2022/9/30, 22, 11, 24, 7, , 2
2022/8/1, 40, 12, 40, 14, 3, 3
2022/8/2, 30, 15, 43, 18, 2, 4
2022/8/3, 48, 11, 21, 13, 2, 3
2022/8/4, 37, 6, 17, 18, 2, 4
2022/8/5, 19, 9, 11, 12, 2, 3
2022/8/6, 18, 9, 13, 5, 2, 2
2022/8/7, 16, 10, 12, 9, 2, 2
2022/8/8, 19, 7, 17, 6, 2, 2
2022/8/9, 12, 9, 17, 5, 2, 2
2022/8/10, 15, 7, 16, 8, 2, 2
2022/8/11, 18, 8, 4, 18, 2, 4
2022/8/12, 18, 13, 15, 17, 2, 4
2022/8/13, 32, 15, 28, 11, 2, 4
2022/8/14, 36, 14, 32, 13, 2, 3
2022/8/15, 31, 10, 19, 9, 2, 3
2022/8/16, 23, 6, 11, 8, 2, 2
2022/8/17, 12, 6, 14, 11, 2, 3
2022/8/18, 15, 8, 13, 10, 2, 3
2022/8/19, 15, 7, 17, 6, 2, 2
2022/8/20, 14, 9, 20, 6, 2, 2
2022/8/21, 19, 17, 46, 10, 1, 2
2022/8/22, 34, 28, 93, 17, 1, 2
2022/8/23, 57, 25, 41, 15, , 2
2022/8/24, 59, 11, 24, 5, , 1
2022/8/25, 20, 14, 15, 8, 1, 1
2022/8/26, 24, 23, 67, 11, , 2
2022/8/27, 42, 24, 65, 9, , 2
2022/8/28, 59, 17, 42, 10, , 2
2022/8/29, 44, 18, 39, 13, , 2
2022/8/30, 51, , 53, 22, , 3
