date, pm25, pm10, o3, no2, so2
2022/6/13, 33, 13, 13, 13, 
2022/6/14, 34, 11, 16, 13, 
2022/6/15, 29, 9, 13, 13, 
2022/6/16, 22, 7, 14, 6, 
2022/6/17, 19, 8, 13, 6, 
2022/6/18, 20, 12, 20, 6, 
2022/6/19, 30, 12, 18, 6, 
2022/6/20, 28, 11, 16, 7, 
2022/6/21, 26, 8, 16, 9, 
2022/6/22, 18, 8, 20, 12, 1
2022/6/23, 20, 9, 24, 12, 1
2022/6/24, 29, 8, 20, 12, 1
2022/6/25, 27, 6, 21, 10, 2
2022/6/26, 19, 5, 16, 9, 1
2022/6/27, 16, 6, 22, 12, 1
2022/6/28, 20, 5, 17, 6, 1
2022/6/29, 15, 6, 15, 7, 1
2022/6/30, 15, 5, 24, 2, 1
2022/5/1, 34, 5, 25, 7, 
2022/5/2, 33, 16, 51, 12, 
2022/5/3, 52, 19, 53, 11, 
2022/5/4, 47, 20, 57, 8, 
2022/5/5, 52, 19, 51, 7, 
2022/5/6, 53, 17, 53, 8, 
2022/5/7, 49, 20, 57, 8, 
2022/5/8, 59, 23, 44, 6, 
2022/5/9, 64, 12, 32, 8, 
2022/5/10, 35, 6, 17, 13, 
2022/5/11, 21, 6, 14, 15, 
2022/5/12, 23, 7, 15, 14, 
2022/5/13, 26, 4, 39, 8, 
2022/5/14, 15, 3, 39, 6, 
2022/5/15, 14, 6, 22, 12, 
2022/5/16, 22, 12, 50, 12, 
2022/5/17, 37, 18, 67, 12, 
2022/5/18, 48, 20, 64, 11, 
2022/5/19, 50, 23, 48, 13, 
2022/5/20, 56, 26, 44, 14, 1
2022/5/21, 66, 22, 48, 4, 
2022/5/22, 54, 12, 42, 7, 
2022/5/23, 36, 7, 34, 13, 
2022/5/24, 28, 5, 29, 9, 
2022/5/25, 21, 7, 25, 8, 
2022/5/26, 26, 13, 8, 18, 
2022/5/27, 35, 13, 20, 10, 
2022/5/28, 32, 9, 21, 8, 
2022/5/29, 22, 10, 18, 11, 
2022/5/30, 26, 12, 14, 14, 
2022/5/31, 34, 14, 18, 9, 
2022/4/1, 33, 7, 28, 9, 1
2022/4/2, 28, 15, 49, 8, 1
2022/4/3, 46, 36, 80, 9, 1
2022/4/4, 62, 30, 76, 10, 1
2022/4/5, 60, 27, 80, 11, 1
2022/4/6, 62, 22, 64, 9, 1
2022/4/7, 56, 27, 80, 16, 1
2022/4/8, 61, 20, 50, 7, 1
2022/4/9, 45, 23, 59, 7, 1
2022/4/10, 56, 19, 24, 14, 1
2022/4/11, 53, 13, 22, 10, 1
2022/4/12, 40, 17, 19, 13, 1
2022/4/13, 46, 24, 94, 14, 1
2022/4/14, 59, 19, 50, 6, 1
2022/4/15, 48, 27, 49, 5, 1
2022/4/16, 53, 37, 60, 7, 1
2022/4/17, 71, 33, 61, 11, 1
2022/4/18, 69, 11, 13, 14, 1
2022/4/19, 34, 17, 43, 12, 1
2022/4/20, 52, 29, 61, 11, 
2022/4/21, 81, 19, 36, 8, 
2022/4/22, 56, 17, 22, 10, 
2022/4/23, 51, 11, 17, 9, 
2022/4/24, 40, 10, 16, 7, 
2022/4/25, 41, 12, 16, 9, 1
2022/4/26, 45, 11, 16, 9, 
2022/4/27, 42, 12, 21, 8, 
2022/4/28, 45, 15, 28, 11, 
2022/4/29, 48, 16, 40, 11, 
2022/4/30, 43, 10, 39, 7, 
2022/3/1, 58, 34, 62, 16, 1
2022/3/2, 83, 35, 68, 7, 1
2022/3/3, 91, 31, 66, 13, 1
2022/3/4, 80, 26, 7, 20, 1
2022/3/5, 73, 33, 65, 4, 1
2022/3/6, 62, 26, 42, 11, 1
2022/3/7, 53, 12, 46, 10, 1
2022/3/8, 35, 15, 49, 10, 1
2022/3/9, 32, 19, 48, 7, 1
2022/3/10, 41, 18, 44, 11, 1
2022/3/11, 41, 18, 47, 8, 1
2022/3/12, 49, 21, 35, 8, 1
2022/3/13, 51, 17, 31, 12, 1
2022/3/14, 42, 17, 43, 12, 1
2022/3/15, 49, 17, 43, 7, 1
2022/3/16, 51, 16, 26, 12, 1
2022/3/17, 43, 33, 51, 18, 1
2022/3/18, 77, 32, 61, 7, 1
2022/3/19, 84, 19, 44, 6, 1
2022/3/20, 58, 29, 38, 7, 1
2022/3/21, 71, 15, 33, 9, 1
2022/3/22, 52, 5, 26, 11, 1
2022/3/23, 21, 5, 39, 9, 1
2022/3/24, 23, 8, 39, 7, 1
2022/3/25, 39, 15, 14, 9, 1
2022/3/26, 51, 19, 20, 9, 1
2022/3/27, 48, 8, 19, 11, 1
2022/3/28, 38, 9, 27, 10, 1
2022/3/29, 35, 16, 44, 11, 1
2022/3/30, 51, 11, 45, 11, 1
2022/3/31, 37, 12, 40, 9, 1
2022/2/1, 56, 10, 8, 7, 1
2022/2/2, 42, 3, 14, 4, 1
2022/2/3, 20, 7, 26, 6, 1
2022/2/4, 31, 11, 23, 7, 1
2022/2/5, 46, 16, 16, 7, 1
2022/2/6, 55, 21, 36, 9, 1
2022/2/7, 56, 8, 14, 10, 1
2022/2/8, 30, 19, 15, 13, 1
2022/2/9, 48, 17, 32, 11, 1
2022/2/10, 51, 8, 36, 6, 1
2022/2/11, 28, 17, 32, 9, 1
2022/2/12, 52, 21, 34, 8, 1
2022/2/13, 59, 6, 29, 11, 1
2022/2/14, 28, 16, 38, 9, 1
2022/2/15, 50, 31, 49, 8, 1
2022/2/16, 68, 22, 42, 9, 
2022/2/17, 55, 13, 41, 8, 1
2022/2/18, 36, 4, 29, 8, 1
2022/2/19, 21, 2, 17, 8, 1
2022/2/23, 32, 20, 29, 14, 
2022/2/24, 60, 18, 36, 17, 1
2022/2/25, 57, 24, 56, 17, 1
2022/2/26, 64, 34, 55, 14, 1
2022/2/27, 90, 24, 56, 9, 1
2022/2/28, 62, 21, 33, 17, 1
2022/1/3, 66, 32, 53, 16, 1
2022/1/4, 78, 19, 39, 17, 1
2022/1/5, 55, 32, 49, 17, 1
2022/1/6, 81, 45, 43, 14, 2
2022/1/7, 96, 33, 35, 18, 2
2022/1/8, 84, 35, 47, 14, 1
2022/1/9, 81, 28, 38, 16, 1
2022/1/10, 75, 21, 30, 17, 1
2022/1/11, 58, 30, 34, 15, 1
2022/1/12, 75, 44, 21, 23, 2
2022/1/13, 99, 48, 39, 15, 1
2022/1/14, 111, 42, 49, 11, 1
2022/1/15, 97, 35, 47, 11, 1
2022/1/16, 88, 34, 39, 14, 1
