"Beach Name","Sampling Date (DD/MM/YYYY)","E. coli count per 100mL on the sampling date"
"Castle Peak Beach","06/01/2020","180"
"Ma Wan Tung Wan Beach","06/01/2020","37"
"Butterfly Beach","06/01/2020","81"
"Kadoorie Beach","06/01/2020","10"
"Cafeteria Old Beach","06/01/2020","44"
"Cafeteria New Beach","06/01/2020","14"
"Stanley Main Beach","06/01/2020","1"
"Hairpin Beach","06/01/2020","91"
"Turtle Cove Beach","06/01/2020","11"
"Shek O Beach","06/01/2020","1"
"Rocky Bay Beach","06/01/2020","3"
"Big Wave Bay Beach","06/01/2020","21"
"Clear Water Bay Second Beach","06/01/2020","1"
"Golden Beach","06/01/2020","8"
"Silverstrand Beach","06/01/2020","24"
"Ting Kau Beach","07/01/2020","28"
"Lo So Shing Beach","07/01/2020","8"
"Lido Beach","07/01/2020","54"
"Casam Beach","07/01/2020","8"
"St. Stephen's Beach","07/01/2020","2"
"Repulse Bay Beach","07/01/2020","1"
"Approach Beach","07/01/2020","23"
"South Bay Beach","07/01/2020","1"
"Chung Hom Kok Beach","07/01/2020","1"
"Hoi Mei Wan Beach","07/01/2020","10"
"Gemini Beaches","07/01/2020","32"
"Anglers' Beach ","07/01/2020","6"
"Deep Water Bay Beach","07/01/2020","3"
"Middle Bay Beach","07/01/2020","3"
"Silver Mine Bay Beach","08/01/2020","2"
"Pui O Beach","08/01/2020","1"
"Upper Cheung Sha Beach","08/01/2020","1"
"Lower Cheung Sha Beach","08/01/2020","1"
"Tong Fuk Beach","08/01/2020","1"
"Hung Shing Yeh Beach","08/01/2020","1"
"Clear Water Bay Second Beach","13/01/2020","10"
"Trio Beach ","13/01/2020","2"
"Hap Mun Bay Beach","13/01/2020","1"
"Deep Water Bay Beach","13/01/2020","12"
"Clear Water Bay First Beach","13/01/2020","1"
"Silverstrand Beach","13/01/2020","150"
"Kiu Tsui Beach","13/01/2020","2"
"Kiu Tsui (New)","13/01/2020","1"
"Discovery Bay","14/01/2020","110"
"Golden Beach","14/01/2020","26"
"Kwun Yam Beach","14/01/2020","5"
"Cheung Chau Tung Wan Beach ","14/01/2020","16"
"Silverstrand Beach","20/01/2020","6"
"Clear Water Bay Second Beach","20/01/2020","1"
"Deep Water Bay Beach","21/01/2020","1"
"Golden Beach","21/01/2020","12"
"Silverstrand Beach","03/02/2020","12"
"Golden Beach","03/02/2020","1"
"Deep Water Bay Beach","03/02/2020","1"
"Clear Water Bay Second Beach","03/02/2020","1"
"Clear Water Bay Second Beach","17/02/2020","1"
"Deep Water Bay Beach","17/02/2020","1"
"Golden Beach","17/02/2020","5"
"Silver Mine Bay Beach","17/02/2020","23"
"Stanley Main Beach","17/02/2020","32"
"Big Wave Bay Beach","17/02/2020","9"
"Repulse Bay Beach","17/02/2020","1"
"Middle Bay Beach","17/02/2020","50"
"Silverstrand Beach","17/02/2020","14"
"Big Wave Bay Beach","21/02/2020","1"
"Stanley Main Beach","21/02/2020","2"
"Repulse Bay Beach","21/02/2020","1"
"Middle Bay Beach","21/02/2020","1"
"Silver Mine Bay Beach","21/02/2020","16"
"Big Wave Bay Beach","24/02/2020","22"
"Silver Mine Bay Beach","24/02/2020","170"
"Repulse Bay Beach","24/02/2020","3"
"Middle Bay Beach","24/02/2020","3"
"Stanley Main Beach","24/02/2020","1"
"Silverstrand Beach","26/02/2020","3"
"Golden Beach","26/02/2020","2"
"Deep Water Bay Beach","26/02/2020","3"
"Clear Water Bay Second Beach","26/02/2020","1"
"Stanley Main Beach","27/02/2020","11"
"Big Wave Bay Beach","27/02/2020","53"
"Repulse Bay Beach","27/02/2020","1"
"Silver Mine Bay Beach","27/02/2020","24"
"Middle Bay Beach","27/02/2020","1"
"Cafeteria New Beach","02/03/2020","14"
"Cafeteria Old Beach","02/03/2020","13"
"Kadoorie Beach","02/03/2020","17"
"Hung Shing Yeh Beach","02/03/2020","5"
"Butterfly Beach","02/03/2020","67"
