"Beach Name","Sampling Date (DD/MM/YYYY)","E. coli count per 100mL on the sampling date"
"Deep Water Bay Beach","02/01/2004","1"
"Cafeteria Old Beach","06/01/2004","120"
"Cafeteria New Beach","06/01/2004","73"
"Kadoorie Beach","06/01/2004","78"
"Golden Beach","06/01/2004","95"
"Castle Peak Beach","06/01/2004","51"
"Butterfly Beach","06/01/2004","40"
"Hung Shing Yeh Beach","07/01/2004","1"
"Clear Water Bay Second Beach","07/01/2004","1"
"Silverstrand Beach","07/01/2004","12"
"Deep Water Bay Beach","08/01/2004","1"
"Upper Cheung Sha Beach","09/01/2004","1"
"Discovery Bay","09/01/2004","2"
"Lower Cheung Sha Beach","09/01/2004","10"
"Golden Beach","09/01/2004","8"
"Tong Fuk Beach","09/01/2004","1"
"Pui O Beach","09/01/2004","3"
"Silver Mine Bay Beach","09/01/2004","65"
"Clear Water Bay Second Beach","13/01/2004","3"
"Silverstrand Beach","13/01/2004","17"
"Ting Kau Beach","15/01/2004","53"
"Lido Beach","15/01/2004","32"
"Kwun Yam Beach","15/01/2004","2"
"Hoi Mei Wan Beach","15/01/2004","360"
"Gemini Beaches","15/01/2004","170"
"Casam Beach","15/01/2004","19"
"Approach Beach","15/01/2004","19"
"Anglers' Beach ","15/01/2004","56"
"Cheung Chau Tung Wan Beach ","15/01/2004","15"
"Ma Wan Tung Wan Beach","15/01/2004","13"
"Clear Water Bay First Beach","16/01/2004","1"
"Clear Water Bay Second Beach","16/01/2004","11"
"Hap Mun Bay Beach","16/01/2004","5"
"Kiu Tsui Beach","16/01/2004","1"
"Silverstrand Beach","16/01/2004","13"
"Trio Beach ","16/01/2004","1"
"Deep Water Bay Beach","19/01/2004","2"
"Golden Beach","19/01/2004","100"
"Tai Po Lung Mei Beach","20/01/2004","1"
"Lo So Shing Beach","20/01/2004","1"
"Clear Water Bay Second Beach","26/01/2004","1"
"Silverstrand Beach","26/01/2004","690"
"Chung Hom Kok Beach","27/01/2004","2"
"Deep Water Bay Beach","27/01/2004","1"
"St. Stephen's Beach","27/01/2004","1"
"South Bay Beach","27/01/2004","3"
"Repulse Bay Beach","27/01/2004","14"
"Middle Bay Beach","27/01/2004","10"
