"Beach Name","Sampling Date (DD/MM/YYYY)","E. coli count per 100mL on the sampling date"
"Turtle Cove Beach","02/01/2001","1"
"Shek O Beach","02/01/2001","6"
"Rocky Bay Beach","02/01/2001","18"
"Big Wave Bay Beach","02/01/2001","26"
"Hairpin Beach","02/01/2001","13"
"Stanley Main Beach","02/01/2001","1"
"Lower Cheung Sha Beach","03/01/2001","35"
"Upper Cheung Sha Beach","03/01/2001","1"
"Tong Fuk Beach","03/01/2001","1"
"Deep Water Bay Beach","03/01/2001","7"
"Pui O Beach","03/01/2001","1"
"Silver Mine Bay Beach","03/01/2001","9"
"Discovery Bay","05/01/2001","29"
"Deep Water Bay Beach","08/01/2001","21"
"Cheung Chau Tung Wan Beach ","08/01/2001","15"
"Kwun Yam Beach","08/01/2001","1"
"Hung Shing Yeh Beach","09/01/2001","1"
"Clear Water Bay Second Beach","09/01/2001","94"
"Silverstrand Beach","09/01/2001","2"
"Clear Water Bay First Beach","09/01/2001","77"
"Ma Wan Tung Wan Beach","11/01/2001","100"
"Deep Water Bay Beach","12/01/2001","9"
"Golden Beach","15/01/2001","55"
"Cafeteria New Beach","15/01/2001","39"
"Butterfly Beach","15/01/2001","24"
"Castle Peak Beach","15/01/2001","208"
"Kadoorie Beach","15/01/2001","60"
"Cafeteria Old Beach","15/01/2001","45"
"Hoi Mei Wan Beach","16/01/2001","190"
"Casam Beach","16/01/2001","230"
"Lido Beach","16/01/2001","150"
"Tai Po Lung Mei Beach","16/01/2001","21"
"Ting Kau Beach","16/01/2001","378"
"Gemini Beaches","16/01/2001","120"
"Anglers' Beach ","16/01/2001","233"
"Approach Beach","16/01/2001","434"
"St. Stephen's Beach","18/01/2001","1"
"Deep Water Bay Beach","18/01/2001","1"
"Repulse Bay Beach","18/01/2001","1"
"South Bay Beach","18/01/2001","2"
"Chung Hom Kok Beach","18/01/2001","1"
"Middle Bay Beach","18/01/2001","1"
"Kiu Tsui Beach","19/01/2001","1"
"Hap Mun Bay Beach","19/01/2001","1"
"Trio Beach ","19/01/2001","1"
"Lo So Shing Beach","29/01/2001","1"
"Deep Water Bay Beach","30/01/2001","3"
"Shek O Beach","02/02/2001","89"
"Turtle Cove Beach","02/02/2001","3"
"Rocky Bay Beach","02/02/2001","110"
"Big Wave Bay Beach","02/02/2001","400"
"Hairpin Beach","02/02/2001","180"
"Stanley Main Beach","02/02/2001","26"
"Cafeteria New Beach","05/02/2001","21"
"Golden Beach","05/02/2001","28"
"Cafeteria Old Beach","05/02/2001","51"
"Butterfly Beach","05/02/2001","12"
"Castle Peak Beach","05/02/2001","51"
"Kadoorie Beach","05/02/2001","57"
"Chung Hom Kok Beach","06/02/2001","1"
"South Bay Beach","06/02/2001","1"
"Deep Water Bay Beach","06/02/2001","1"
"Repulse Bay Beach","06/02/2001","1"
"Middle Bay Beach","06/02/2001","3"
"St. Stephen's Beach","06/02/2001","1"
"Casam Beach","08/02/2001","360"
"Lido Beach","08/02/2001","380"
"Ting Kau Beach","08/02/2001","390"
"Approach Beach","08/02/2001","1442"
"Hoi Mei Wan Beach","08/02/2001","410"
"Anglers' Beach ","08/02/2001","378"
"Gemini Beaches","08/02/2001","410"
"Deep Water Bay Beach","09/02/2001","40"
"Ma Wan Tung Wan Beach","09/02/2001","66"
"Discovery Bay","13/02/2001","24"
"Silverstrand Beach","14/02/2001","19"
"Clear Water Bay First Beach","14/02/2001","1"
"Clear Water Bay Second Beach","14/02/2001","1"
"Deep Water Bay Beach","15/02/2001","1"
"Tai Po Lung Mei Beach","16/02/2001","1"
"Hung Shing Yeh Beach","19/02/2001","1"
"Kwun Yam Beach","20/02/2001","12"
"Cheung Chau Tung Wan Beach ","20/02/2001","2"
"Silver Mine Bay Beach","21/02/2001","13"
"Pui O Beach","21/02/2001","8"
"Lower Cheung Sha Beach","21/02/2001","7"
"Upper Cheung Sha Beach","21/02/2001","1"
