"Beach Name","Sampling Date (DD/MM/YYYY)","E. coli count per 100mL on the sampling date"
"Cheung Chau Tung Wan Beach ","04/01/2016","9"
"Kwun Yam Beach","04/01/2016","5"
"Deep Water Bay Beach","04/01/2016","7"
"Butterfly Beach","05/01/2016","9"
"Kadoorie Beach","05/01/2016","30"
"Ma Wan Tung Wan Beach","05/01/2016","50"
"Golden Beach","05/01/2016","28"
"Cafeteria New Beach","05/01/2016","7"
"Hung Shing Yeh Beach","05/01/2016","4"
"Cafeteria Old Beach","05/01/2016","76"
"Castle Peak Beach","05/01/2016","420"
"Clear Water Bay Second Beach","06/01/2016","4"
"Tai Po Lung Mei Beach","06/01/2016","3979"
"Silverstrand Beach","06/01/2016","210"
"Clear Water Bay Second Beach","11/01/2016","420"
"Clear Water Bay First Beach","11/01/2016","150"
"Trio Beach ","11/01/2016","20"
"Kiu Tsui (New)","11/01/2016","10"
"Kiu Tsui Beach","11/01/2016","88"
"Silverstrand Beach","11/01/2016","320"
"Hap Mun Bay Beach","11/01/2016","1"
"Golden Beach","12/01/2016","140"
"Deep Water Bay Beach","12/01/2016","6"
"Discovery Bay","12/01/2016","14"
"Lido Beach","13/01/2016","14"
"Casam Beach","13/01/2016","31"
"Hoi Mei Wan Beach","13/01/2016","2"
"Gemini Beaches","13/01/2016","230"
"Approach Beach","13/01/2016","26"
"Tai Po Lung Mei Beach","13/01/2016","566"
"Anglers' Beach ","13/01/2016","19"
"Ting Kau Beach","13/01/2016","21"
"Golden Beach","18/01/2016","39"
"South Bay Beach","18/01/2016","1"
"Repulse Bay Beach","18/01/2016","400"
"Deep Water Bay Beach","18/01/2016","5"
"Chung Hom Kok Beach","18/01/2016","4"
"Middle Bay Beach","18/01/2016","16"
"St. Stephen's Beach","18/01/2016","1"
"Silverstrand Beach","19/01/2016","90"
"Stanley Main Beach","19/01/2016","14"
"Turtle Cove Beach","19/01/2016","1"
"Rocky Bay Beach","19/01/2016","7"
"Clear Water Bay Second Beach","19/01/2016","6"
"Shek O Beach","19/01/2016","8"
"Big Wave Bay Beach","19/01/2016","13"
"Hairpin Beach","19/01/2016","1"
"Tong Fuk Beach","20/01/2016","1"
"Upper Cheung Sha Beach","20/01/2016","6"
"Pui O Beach","20/01/2016","10"
"Silver Mine Bay Beach","20/01/2016","1600"
"Lo So Shing Beach","20/01/2016","1"
"Lower Cheung Sha Beach","20/01/2016","3"
"Tai Po Lung Mei Beach","21/01/2016","238"
"Repulse Bay Beach","26/01/2016","3"
"Deep Water Bay Beach","26/01/2016","3"
"Clear Water Bay Second Beach","26/01/2016","3"
"Silverstrand Beach","26/01/2016","34"
"Stanley Main Beach","26/01/2016","18"
"Big Wave Bay Beach","26/01/2016","10"
"Middle Bay Beach","26/01/2016","3"
"Golden Beach","26/01/2016","5"
"Tai Po Lung Mei Beach","27/01/2016","121"
"Deep Water Bay Beach","01/02/2016","6"
"Repulse Bay Beach","01/02/2016","3600"
"Middle Bay Beach","01/02/2016","8"
"Silverstrand Beach","01/02/2016","53"
"Stanley Main Beach","01/02/2016","106"
"Big Wave Bay Beach","01/02/2016","14"
"Golden Beach","01/02/2016","57"
"Clear Water Bay Second Beach","01/02/2016","1800"
"Clear Water Bay Second Beach","02/02/2016","4"
"Discovery Bay","03/02/2016","5"
"Tai Po Lung Mei Beach","04/02/2016","58"
"Golden Beach","15/02/2016","29"
"Silverstrand Beach","15/02/2016","150"
"Middle Bay Beach","15/02/2016","1"
"Big Wave Bay Beach","15/02/2016","2"
"Deep Water Bay Beach","15/02/2016","27"
"Repulse Bay Beach","15/02/2016","1"
"Stanley Main Beach","15/02/2016","88"
"Clear Water Bay Second Beach","15/02/2016","5"
"Hung Shing Yeh Beach","16/02/2016","5"
"Hoi Mei Wan Beach","17/02/2016","470"
"Gemini Beaches","17/02/2016","120"
"Lido Beach","17/02/2016","140"
"Anglers' Beach ","17/02/2016","69"
"Cheung Chau Tung Wan Beach ","17/02/2016","9"
"Kwun Yam Beach","17/02/2016","10"
"Approach Beach","17/02/2016","409"
"Casam Beach","17/02/2016","92"
"Ting Kau Beach","17/02/2016","413"
"Tai Po Lung Mei Beach","18/02/2016","58"
"Kiu Tsui (New)","22/02/2016","51"
"Repulse Bay Beach","22/02/2016","1"
"Deep Water Bay Beach","22/02/2016","2"
"Middle Bay Beach","22/02/2016","2"
"South Bay Beach","22/02/2016","1"
"Chung Hom Kok Beach","22/02/2016","15"
"Kiu Tsui Beach","22/02/2016","8"
"Trio Beach ","22/02/2016","68"
"Clear Water Bay First Beach","22/02/2016","43"
"Clear Water Bay Second Beach","22/02/2016","17"
"Silverstrand Beach","22/02/2016","320"
"St. Stephen's Beach","22/02/2016","1"
"Hap Mun Bay Beach","22/02/2016","3"
"Cafeteria New Beach","23/02/2016","130"
"Rocky Bay Beach","23/02/2016","66"
"Hairpin Beach","23/02/2016","2"
"Butterfly Beach","23/02/2016","75"
"Kadoorie Beach","23/02/2016","84"
"Castle Peak Beach","23/02/2016","80"
"Cafeteria Old Beach","23/02/2016","130"
"Golden Beach","23/02/2016","75"
"Ma Wan Tung Wan Beach","23/02/2016","12"
"Stanley Main Beach","23/02/2016","2"
"Turtle Cove Beach","23/02/2016","4"
"Shek O Beach","23/02/2016","4"
"Big Wave Bay Beach","23/02/2016","15"
"Pui O Beach","24/02/2016","14"
"Silver Mine Bay Beach","24/02/2016","28"
"Lower Cheung Sha Beach","24/02/2016","14"
"Tong Fuk Beach","24/02/2016","1"
"Tai Po Lung Mei Beach","24/02/2016","34"
"Upper Cheung Sha Beach","24/02/2016","4"
"Lo So Shing Beach","24/02/2016","1"
"Cheung Chau Tung Wan Beach ","25/02/2016","7"
"Kwun Yam Beach","25/02/2016","26"
"Discovery Bay","25/02/2016","8"
"Silver Mine Bay Beach","29/02/2016","14"
"Hung Shing Yeh Beach","29/02/2016","1"
"Anglers' Beach ","29/02/2016","45"
"Tong Fuk Beach","29/02/2016","1"
"Lido Beach","29/02/2016","1"
"Hoi Mei Wan Beach","29/02/2016","51"
"Lower Cheung Sha Beach","29/02/2016","1"
"Ting Kau Beach","29/02/2016","3"
"Gemini Beaches","29/02/2016","130"
"Casam Beach","29/02/2016","3"
"Upper Cheung Sha Beach","29/02/2016","1"
"Pui O Beach","29/02/2016","1"
"Approach Beach","29/02/2016","4"
"Shek O Beach","01/03/2016","35"
"Big Wave Bay Beach","01/03/2016","8"
"Repulse Bay Beach","01/03/2016","36"
"Stanley Main Beach","01/03/2016","6"
"South Bay Beach","01/03/2016","1"
"St. Stephen's Beach","01/03/2016","1"
"Deep Water Bay Beach","01/03/2016","1"
"Rocky Bay Beach","01/03/2016","24"
"Turtle Cove Beach","01/03/2016","1"
"Hairpin Beach","01/03/2016","5"
"Middle Bay Beach","01/03/2016","2"
"Chung Hom Kok Beach","01/03/2016","1"
"Discovery Bay","01/03/2016","290"
"Cafeteria New Beach","02/03/2016","1"
"Kiu Tsui Beach","02/03/2016","1"
"Clear Water Bay Second Beach","02/03/2016","1"
"Butterfly Beach","02/03/2016","42"
"Castle Peak Beach","02/03/2016","16"
"Hap Mun Bay Beach","02/03/2016","1"
"Kadoorie Beach","02/03/2016","2"
"Trio Beach ","02/03/2016","10"
"Silverstrand Beach","02/03/2016","50"
"Clear Water Bay First Beach","02/03/2016","2"
"Ma Wan Tung Wan Beach","02/03/2016","2"
"Golden Beach","02/03/2016","2"
"Cafeteria Old Beach","02/03/2016","1"
"Kiu Tsui (New)","02/03/2016","1"
"Kwun Yam Beach","03/03/2016","1"
"Cheung Chau Tung Wan Beach ","03/03/2016","2"
"Hung Shing Yeh Beach","03/03/2016","1"
"Lo So Shing Beach","03/03/2016","1"
"Tai Po Lung Mei Beach","04/03/2016","45"
"Upper Cheung Sha Beach","07/03/2016","10"
"Butterfly Beach","07/03/2016","21"
"Pui O Beach","07/03/2016","6"
"Cafeteria Old Beach","07/03/2016","27"
"Middle Bay Beach","07/03/2016","2"
"Deep Water Bay Beach","07/03/2016","12"
"Golden Beach","07/03/2016","54"
"Tong Fuk Beach","07/03/2016","2"
"Lower Cheung Sha Beach","07/03/2016","48"
"Silver Mine Bay Beach","07/03/2016","25"
"Repulse Bay Beach","07/03/2016","2"
"South Bay Beach","07/03/2016","2"
"St. Stephen's Beach","07/03/2016","3"
"Chung Hom Kok Beach","07/03/2016","1"
"Ma Wan Tung Wan Beach","07/03/2016","130"
"Cafeteria New Beach","07/03/2016","40"
"Kadoorie Beach","07/03/2016","13"
"Castle Peak Beach","07/03/2016","560"
"Turtle Cove Beach","08/03/2016","8"
"Hap Mun Bay Beach","08/03/2016","2"
"Clear Water Bay Second Beach","08/03/2016","10"
"Rocky Bay Beach","08/03/2016","35"
"Trio Beach ","08/03/2016","62"
"Stanley Main Beach","08/03/2016","2"
"Hairpin Beach","08/03/2016","1"
"Kiu Tsui Beach","08/03/2016","23"
"Silverstrand Beach","08/03/2016","9"
"Clear Water Bay First Beach","08/03/2016","9"
"Big Wave Bay Beach","08/03/2016","290"
"Shek O Beach","08/03/2016","42"
"Kiu Tsui (New)","08/03/2016","35"
"Hung Shing Yeh Beach","09/03/2016","1"
"Cheung Chau Tung Wan Beach ","09/03/2016","17"
"Lido Beach","09/03/2016","26"
"Approach Beach","09/03/2016","49"
"Anglers' Beach ","09/03/2016","148"
"Ting Kau Beach","09/03/2016","70"
"Casam Beach","09/03/2016","49"
"Hoi Mei Wan Beach","09/03/2016","35"
"Gemini Beaches","09/03/2016","110"
"Kwun Yam Beach","09/03/2016","11"
"Tai Po Lung Mei Beach","10/03/2016","244"
"Lo So Shing Beach","10/03/2016","21"
"Discovery Bay","10/03/2016","210"
"Kadoorie Beach","14/03/2016","55"
