"Beach Name","Sampling Date (DD/MM/YYYY)","E. coli count per 100mL on the sampling date"
"Golden Beach","02/01/2014","19"
"Deep Water Bay Beach","02/01/2014","4"
"Clear Water Bay Second Beach","02/01/2014","1"
"Tai Po Lung Mei Beach","02/01/2014","11"
"Silverstrand Beach","02/01/2014","53"
"Clear Water Bay First Beach","06/01/2014","2"
"Hap Mun Bay Beach","06/01/2014","1"
"Silverstrand Beach","06/01/2014","27"
"Kiu Tsui (New)","06/01/2014","1"
"Trio Beach ","06/01/2014","6"
"Kiu Tsui Beach","06/01/2014","1"
"Clear Water Bay Second Beach","06/01/2014","6"
"Repulse Bay Beach","07/01/2014","1"
"Middle Bay Beach","07/01/2014","2"
"Chung Hom Kok Beach","07/01/2014","1"
"St. Stephen's Beach","07/01/2014","1"
"South Bay Beach","07/01/2014","1"
"Deep Water Bay Beach","07/01/2014","1"
"Butterfly Beach","08/01/2014","48"
"Cafeteria Old Beach","08/01/2014","20"
"Golden Beach","08/01/2014","19"
"Kadoorie Beach","08/01/2014","25"
"Cafeteria New Beach","08/01/2014","5"
"Castle Peak Beach","08/01/2014","110"
"Tai Po Lung Mei Beach","08/01/2014","565"
"Lo So Shing Beach","09/01/2014","1"
"Turtle Cove Beach","13/01/2014","1"
"Big Wave Bay Beach","13/01/2014","7"
"Shek O Beach","13/01/2014","1"
"Hairpin Beach","13/01/2014","2"
"Golden Beach","13/01/2014","10"
"Ma Wan Tung Wan Beach","13/01/2014","16"
"Rocky Bay Beach","13/01/2014","1"
"Stanley Main Beach","13/01/2014","3"
"Deep Water Bay Beach","13/01/2014","1"
"Upper Cheung Sha Beach","14/01/2014","1"
"Pui O Beach","14/01/2014","2"
"Silverstrand Beach","14/01/2014","23"
"Clear Water Bay Second Beach","14/01/2014","1"
"Tong Fuk Beach","14/01/2014","1"
"Lower Cheung Sha Beach","14/01/2014","1"
"Silver Mine Bay Beach","14/01/2014","8"
"Tai Po Lung Mei Beach","16/01/2014","31"
"Anglers' Beach ","17/01/2014","70"
"Gemini Beaches","17/01/2014","180"
"Approach Beach","17/01/2014","26"
"Ting Kau Beach","17/01/2014","23"
"Hoi Mei Wan Beach","17/01/2014","140"
"Lido Beach","17/01/2014","6"
"Casam Beach","17/01/2014","16"
"Deep Water Bay Beach","20/01/2014","1"
"Golden Beach","20/01/2014","2"
"Clear Water Bay Second Beach","21/01/2014","1"
"Silverstrand Beach","21/01/2014","45"
"Anglers' Beach ","22/01/2014","22"
"Casam Beach","22/01/2014","19"
"Approach Beach","22/01/2014","20"
"Tai Po Lung Mei Beach","22/01/2014","4"
"Lido Beach","22/01/2014","14"
"Hoi Mei Wan Beach","22/01/2014","18"
"Gemini Beaches","22/01/2014","32"
"Ting Kau Beach","22/01/2014","12"
"Discovery Bay","23/01/2014","9"
"Golden Beach","27/01/2014","5"
"Tai Po Lung Mei Beach","27/01/2014","7"
"Deep Water Bay Beach","27/01/2014","1"
"Clear Water Bay Second Beach","28/01/2014","3"
"Silverstrand Beach","28/01/2014","1"
"Cheung Chau Tung Wan Beach ","29/01/2014","1"
"Hung Shing Yeh Beach","29/01/2014","1"
"Kwun Yam Beach","29/01/2014","1"
"Clear Water Bay Second Beach","04/02/2014","5"
"Silverstrand Beach","04/02/2014","6900"
"Golden Beach","04/02/2014","7"
"Stanley Main Beach","05/02/2014","30"
"Middle Bay Beach","05/02/2014","1"
"Deep Water Bay Beach","05/02/2014","1"
"Silverstrand Beach","05/02/2014","26"
"Big Wave Bay Beach","05/02/2014","22"
"Repulse Bay Beach","05/02/2014","1"
"Tai Po Lung Mei Beach","06/02/2014","74"
"Silverstrand Beach","10/02/2014","170"
"Clear Water Bay Second Beach","10/02/2014","4"
"Golden Beach","12/02/2014","19"
"Deep Water Bay Beach","12/02/2014","1"
"Tai Po Lung Mei Beach","13/02/2014","30"
"Trio Beach ","17/02/2014","6"
"Clear Water Bay Second Beach","17/02/2014","2"
"Clear Water Bay First Beach","17/02/2014","5"
"Silverstrand Beach","17/02/2014","44"
"Hap Mun Bay Beach","17/02/2014","2"
"Kiu Tsui (New)","17/02/2014","1"
"Kiu Tsui Beach","17/02/2014","1"
"Castle Peak Beach","18/02/2014","40"
"Kadoorie Beach","18/02/2014","59"
"Cafeteria Old Beach","18/02/2014","17"
"Golden Beach","18/02/2014","4"
"Deep Water Bay Beach","18/02/2014","7"
"Middle Bay Beach","18/02/2014","1"
"Stanley Main Beach","18/02/2014","2"
"Big Wave Bay Beach","18/02/2014","1"
"Repulse Bay Beach","18/02/2014","5"
"Cafeteria New Beach","18/02/2014","18"
"Ma Wan Tung Wan Beach","18/02/2014","780"
"Butterfly Beach","18/02/2014","4"
"Tong Fuk Beach","19/02/2014","1"
"Tai Po Lung Mei Beach","19/02/2014","3359"
"Upper Cheung Sha Beach","19/02/2014","1"
"Lower Cheung Sha Beach","19/02/2014","12"
"Pui O Beach","19/02/2014","114"
"Silver Mine Bay Beach","19/02/2014","4"
"Discovery Bay","20/02/2014","16"
"Repulse Bay Beach","21/02/2014","1"
"Stanley Main Beach","21/02/2014","11"
"Lo So Shing Beach","21/02/2014","1"
"Big Wave Bay Beach","21/02/2014","2"
"Middle Bay Beach","21/02/2014","2"
"Rocky Bay Beach","24/02/2014","12"
"Turtle Cove Beach","24/02/2014","1"
"Kwun Yam Beach","24/02/2014","1"
"Hairpin Beach","24/02/2014","11"
"Golden Beach","24/02/2014","1"
"Stanley Main Beach","24/02/2014","3"
"Big Wave Bay Beach","24/02/2014","1"
"Shek O Beach","24/02/2014","13"
